# Description:
#   Normalized structure factor for block copolymer solution
#
# Source:
#   Lyubimov, I.; Jeltran-Villegas, D.J.; Jayaraman, A; PRISM Theory Study of
#   Amphiphilic Block Copolymer Solutions with Varying Copolymer Sequence and
#   Composition, Macromolecules, 2017, 50 (18), pp7419,
#   doi:10.1021/acs.macromol.7b01419
# 
# Figure 5
# Sk-pair: A-A
# Chain Length: 24
# Sequence: A*12 + B*12
# 
# k          S(k)
#
0.030679616  2.1443232
0.061359232  2.1697104
0.092038847  2.2117624
0.12271846   2.2716754
0.15339808   2.3488745
0.18407769   2.4436043
0.21475731   2.5551728
0.24543693   2.6834602
0.27611654   2.8258906
0.30679616   2.9808117
0.33747577   3.1446451
0.36815539   3.3133145
0.398835     3.4820372
0.42951462   3.6458118
0.46019424   3.7994366
0.49087385   3.9381232
0.52155347   4.0577366
0.55223308   4.1550719
0.5829127    4.2279822
0.61359232   4.2755745
0.64427193   4.2978943
0.67495155   4.296025
0.70563116   4.2716987
0.73631078   4.227164
0.76699039   4.1650086
0.79767001   4.0879606
0.82834963   3.9987334
0.85902924   3.8998812
0.88970886   3.7938614
0.92038847   3.6828637
0.95106809   3.5688148
0.9817477    3.4533885
1.0124273    3.337979
1.0431069    3.2237845
1.0737866    3.1117545
1.1044662    3.0026264
1.1351458    2.8969755
1.1658254    2.7951991
1.196505     2.6975851
1.2271846    2.6042956
1.2578642    2.515417
1.2885439    2.4309263
1.3192235    2.3507696
1.3499031    2.2748306
1.3805827    2.2029692
1.4112623    2.1350003
1.4419419    2.070758
1.4726216    2.0100194
1.5033012    1.9526029
1.5339808    1.8983009
1.5646604    1.8469004
1.59534      1.7982316
1.6260196    1.7521019
1.6566993    1.7083504
1.6873789    1.6668027
1.7180585    1.6273013
1.7487381    1.5897144
1.7794177    1.5539144
1.8100973    1.5197535
1.8407769    1.4871421
1.8714566    1.4559561
1.9021362    1.4261078
1.9328158    1.3975067
1.9634954    1.37006
1.994175     1.3436888
2.0248546    1.3183372
2.0555343    1.2939238
2.0862139    1.2704069
2.1168935    1.2477117
2.1475731    1.2258041
2.1782527    1.2046419
2.2089323    1.184174
2.239612     1.1643748
2.2702916    1.1452104
2.3009712    1.1266551
2.3316508    1.1086833
2.3623304    1.0912694
2.39301      1.074396
2.4236896    1.0580546
