# Description:
#    Intra-molecular correlation functions (form factors) for a copolymer in a
#    vaccuum with athermal, hard-sphere interactions for A-A and A-B and
#    attractive B-B interactions.These data were calculated from MD simulations
#    using the Debye method.
# 
# Source:
#   Coarse Grained MD Simulation
#
# Chain Length: 24
# Sequence: A*12 + B*12 
# bond types: harmonic
# bond_r0: 1.0
# bond_k: 50
# AA interactions: WCA
# sigma_AA = 1.0d
# epsilon_AA = 1.0e
# AB interactions: WCA
# sigma_AB = 1.0d
# epsilon_AB = 1.0e
# BB interactions: LJ
# sigma_BB = 1.0d
# epsilon_BB = 0.25e
# dr: 0.1 d
# dk: 0.031 d^-1
# length: 1024
# Omega Pair: B-B
# 
#k        Omega(k)
# 
0.0306796  11.9874
0.0613592  11.9539
0.0920388  11.8964
0.122718   11.8187
0.153398   11.7184
0.184078   11.5971
0.214757   11.4551
0.245437   11.2954
0.276117   11.1165
0.306796   10.9218
0.337476   10.7117
0.368155   10.4875
0.398835   10.2507
0.429515   10.0028
0.460194   9.74524
0.490874   9.47965
0.521553   9.20754
0.552233   8.93025
0.582913   8.64931
0.613592   8.36609
0.644272   8.082
0.674952   7.79823
0.705631   7.51598
0.736311   7.23638
0.76699    6.96043
0.79767    6.68909
0.82835    6.42312
0.859029   6.1633
0.889709   5.91023
0.920388   5.66449
0.951068   5.4265
0.981748   5.1966
1.01243    4.97504
1.04311    4.76205
1.07379    4.55771
1.10447    4.36207
1.13515    4.17513
1.16583    3.99676
1.1965     3.82691
1.22718    3.66533
1.25786    3.51187
1.28854    3.36627
1.31922    3.22828
1.3499     3.09761
1.38058    2.97396
1.41126    2.85702
1.44194    2.74649
1.47262    2.64206
1.5033     2.54339
1.53398    2.45019
1.56466    2.36214
1.59534    2.27897
1.62602    2.20036
1.6567     2.12606
1.68738    2.05578
1.71806    1.9893
1.74874    1.92634
1.77942    1.86671
1.8101     1.81018
1.84078    1.75655
1.87146    1.70564
1.90214    1.65728
1.93282    1.61129
1.9635     1.56753
1.99417    1.52586
2.02485    1.48615
2.05553    1.44828
2.08621    1.41213
2.11689    1.3776
2.14757    1.3446
2.17825    1.31304
2.20893    1.28284
2.23961    1.25392
2.27029    1.22622
2.30097    1.19966
2.33165    1.17419
2.36233    1.14975
2.39301    1.12629
2.42369    1.10377
2.45437    1.08213
2.48505    1.06135
2.51573    1.04136
2.54641    1.02215
2.57709    1.00367
2.60777    0.985903
2.63845    0.968805
2.66913    0.952353
2.69981    0.936519
2.73049    0.921279
2.76117    0.906608
2.79185    0.892485
2.82252    0.878888
2.8532     0.865797
2.88388    0.853192
2.91456    0.841056
2.94524    0.829372
2.97592    0.818123
3.0066     0.807294
3.03728    0.796871
3.06796    0.786841
3.09864    0.77719
3.12932    0.767907
3.16       0.758981
3.19068    0.750402
3.22136    0.742158
3.25204    0.734244
3.28272    0.726649
3.3134     0.719367
3.34408    0.712391
3.37476    0.705717
3.40544    0.699335
3.43612    0.693247
3.4668     0.687442
3.49748    0.681921
3.52816    0.676677
3.55884    0.671713
3.58951    0.667017
3.62019    0.662596
3.65087    0.658442
3.68155    0.654554
3.71223    0.650928
3.74291    0.647565
3.77359    0.644456
3.80427    0.641603
3.83495    0.639004
3.86563    0.636649
3.89631    0.634541
3.92699    0.632671
3.95767    0.631038
3.98835    0.629633
4.01903    0.628457
4.04971    0.627498
4.08039    0.626754
4.11107    0.62622
4.14175    0.625888
4.17243    0.625753
4.20311    0.625809
4.23379    0.626051
4.26447    0.626475
4.29515    0.627074
4.32583    0.627846
4.35651    0.628784
4.38719    0.629882
4.41786    0.631144
4.44854    0.632558
4.47922    0.634127
4.5099     0.635856
4.54058    0.637726
4.57126    0.639753
4.60194    0.641932
4.63262    0.64426
4.6633     0.646741
4.69398    0.649379
4.72466    0.652167
4.75534    0.655118
4.78602    0.658228
4.8167     0.661498
4.84738    0.664937
4.87806    0.668543
4.90874    0.672321
4.93942    0.676268
4.9701     0.680393
5.00078    0.684693
5.03146    0.689175
5.06214    0.693836
5.09282    0.69868
5.1235     0.703708
5.15418    0.70892
5.18485    0.714316
5.21553    0.719895
5.24621    0.725659
5.27689    0.731607
5.30757    0.737734
5.33825    0.744043
5.36893    0.750532
5.39961    0.757194
5.43029    0.764034
5.46097    0.771042
5.49165    0.778222
5.52233    0.785567
5.55301    0.793075
5.58369    0.800742
5.61437    0.808565
5.64505    0.816539
5.67573    0.82466
5.70641    0.832926
5.73709    0.841329
5.76777    0.849866
5.79845    0.85853
5.82913    0.867319
5.85981    0.876223
5.89049    0.885239
5.92117    0.894358
5.95185    0.903575
5.98252    0.91288
6.0132     0.922268
6.04388    0.931729
6.07456    0.941257
6.10524    0.950841
6.13592    0.960471
6.1666     0.97014
6.19728    0.979837
6.22796    0.989551
6.25864    0.999273
6.28932    1.00899
6.32       1.0187
6.35068    1.02837
6.38136    1.03802
6.41204    1.04761
6.44272    1.05714
6.4734     1.0666
6.50408    1.07598
6.53476    1.08526
6.56544    1.09443
6.59612    1.10348
6.6268     1.1124
6.65748    1.12118
6.68816    1.12979
6.71884    1.13824
6.74952    1.14651
6.78019    1.15459
6.81087    1.16246
6.84155    1.17012
6.87223    1.17755
6.90291    1.18474
6.93359    1.19169
6.96427    1.19839
6.99495    1.20481
7.02563    1.21097
7.05631    1.21684
7.08699    1.22242
7.11767    1.2277
7.14835    1.23268
7.17903    1.23735
7.20971    1.24171
7.24039    1.24575
7.27107    1.24946
7.30175    1.25286
7.33243    1.25592
7.36311    1.25865
7.39379    1.26106
7.42447    1.26313
7.45515    1.26487
7.48583    1.26628
7.51651    1.26736
7.54719    1.26811
7.57787    1.26854
7.60854    1.26864
7.63922    1.26843
7.6699     1.2679
7.70058    1.26705
7.73126    1.2659
7.76194    1.26445
7.79262    1.26269
7.8233     1.26065
7.85398    1.25832
7.88466    1.25571
7.91534    1.25283
7.94602    1.24968
7.9767     1.24628
8.00738    1.24263
8.03806    1.23874
8.06874    1.23462
8.09942    1.23028
8.1301     1.22573
8.16078    1.22098
8.19146    1.21604
8.22214    1.21092
8.25282    1.20563
8.2835     1.20018
8.31418    1.19458
8.34486    1.18885
8.37554    1.18299
8.40621    1.17701
8.43689    1.17093
8.46757    1.16476
8.49825    1.1585
8.52893    1.15217
8.55961    1.14577
8.59029    1.13932
8.62097    1.13283
8.65165    1.1263
8.68233    1.11974
8.71301    1.11316
8.74369    1.10657
8.77437    1.09997
8.80505    1.09338
8.83573    1.0868
8.86641    1.08023
8.89709    1.07369
8.92777    1.06717
8.95845    1.06068
8.98913    1.05424
9.01981    1.04784
9.05049    1.04148
9.08117    1.03518
9.11185    1.02893
9.14253    1.02275
9.17321    1.01663
9.20388    1.01058
9.23456    1.00459
9.26524    0.998688
9.29592    0.99286
9.3266     0.987113
9.35728    0.98145
9.38796    0.975874
9.41864    0.970388
9.44932    0.964994
9.48       0.959696
9.51068    0.954495
9.54136    0.949394
9.57204    0.944395
9.60272    0.939501
9.6334     0.934714
9.66408    0.930035
9.69476    0.925467
9.72544    0.921012
9.75612    0.916671
9.7868     0.912447
9.81748    0.908341
9.84816    0.904355
9.87884    0.900489
9.90952    0.896746
9.9402     0.893126
9.97087    0.889631
10.0016    0.886263
10.0322    0.883022
10.0629    0.879909
10.0936    0.876924
10.1243    0.874068
10.155     0.871341
10.1856    0.868745
10.2163    0.866278
10.247     0.863942
10.2777    0.861737
10.3084    0.85966
10.339     0.857713
10.3697    0.855896
10.4004    0.854206
10.4311    0.852645
10.4617    0.851209
10.4924    0.849902
10.5231    0.84872
10.5538    0.84766
10.5845    0.846723
10.6151    0.845911
10.6458    0.845218
10.6765    0.844645
10.7072    0.844192
10.7379    0.843855
10.7685    0.843633
10.7992    0.843529
