# Description:
#   Normalized structure factor for block copolymer solution
#
# Source:
#   Lyubimov, I.; Jeltran-Villegas, D.J.; Jayaraman, A; PRISM Theory Study of
#   Amphiphilic Block Copolymer Solutions with Varying Copolymer Sequence and
#   Composition, Macromolecules, 2017, 50 (18), pp7419,
#   doi:10.1021/acs.macromol.7b01419
# 
# Figure 5
# Sk-pair: B-B
# Chain Length: 24
# Sequence: A*12 + B*12
# 
# k          S(k)
#
0.030679616  2.1609024
0.061359232  2.2379567
0.092038847  2.3638454
0.12271846   2.5393139
0.15339808   2.7597837
0.18407769   3.0220673
0.21475731   3.3203298
0.24543693   3.6500165
0.27611654   4.0004418
0.30679616   4.3639379
0.33747577   4.7287575
0.36815539   5.0832725
0.398835     5.4155657
0.42951462   5.7149137
0.46019424   5.9717799
0.49087385   6.1788566
0.52155347   6.3315954
0.55223308   6.4282043
0.5829127    6.4695589
0.61359232   6.4589185
0.64427193   6.4012397
0.67495155   6.3026804
0.70563116   6.1699504
0.73631078   6.0098401
0.76699039   5.8288222
0.79767001   5.6328886
0.82834963   5.4272075
0.85902924   5.2162332
0.88970886   5.003653
0.92038847   4.7924476
0.95106809   4.5849343
0.9817477    4.3828714
1.0124273    4.1875132
1.0431069    3.9997697
1.0737866    3.8202345
1.1044662    3.6491813
1.1351458    3.4867577
1.1658254    3.3328833
1.196505     3.1874231
1.2271846    3.0501275
1.2578642    2.9207068
1.2885439    2.7988151
1.3192235    2.6840662
1.3499031    2.5760992
1.3805827    2.4745348
1.4112623    2.3789694
1.4419419    2.289076
1.4726216    2.2044721
1.5033012    2.1248275
1.5339808    2.0498334
1.5646604    1.9791742
1.59534      1.9125773
1.6260196    1.8497734
1.6566993    1.7905192
1.6873789    1.7345866
1.7180585    1.6817553
1.7487381    1.6318182
1.7794177    1.5846018
1.8100973    1.5399289
1.8407769    1.4976334
1.8714566    1.4575506
1.9021362    1.4195399
1.9328158    1.383477
1.9634954    1.3492237
1.994175     1.3166654
2.0248546    1.2856885
2.0555343    1.2562028
2.0862139    1.2281042
2.1168935    1.2012968
2.1475731    1.1757087
2.1782527    1.1512611
2.2089323    1.1278913
2.239612     1.1055223
2.2702916    1.0841083
2.3009712    1.0635966
2.3316508    1.0439267
2.3623304    1.0250545
2.39301      1.0069516
2.4236896    0.98955788
2.4543693    0.97286129
2.4850489    0.95680922
2.5157285    0.94138944
2.5464081    0.92655667
2.5770877    0.91228478
2.6077673    0.89855734
2.638447     0.88534496
2.6691266    0.87262618
2.6998062    0.86037909
2.7304858    0.84858227
2.7611654    0.83721648
2.791845     0.82626475
2.8225246    0.81570903
2.8532043    0.80553281
2.8838839    0.79572292
2.9145635    0.78626264
2.9452431    0.77714219
2.9759227    0.76834657
3.0066023    0.75986779
3.037282     0.75169442
3.0679616    0.74381771
3.0986412    0.73623078
3.1293208    0.72892319
3.1600004    0.72189257
