# Description:
#   Normalized structure factor for block copolymer solution
#
# Source:
#   Lyubimov, I.; Jeltran-Villegas, D.J.; Jayaraman, A; PRISM Theory Study of
#   Amphiphilic Block Copolymer Solutions with Varying Copolymer Sequence and
#   Composition, Macromolecules, 2017, 50 (18), pp7419,
#   doi:10.1021/acs.macromol.7b01419
# 
# Figure 5
# Sk-pair: B-B
# Chain Length: 24
# Sequence: B*6 + A*12 + B*6
# 
# k          S(k)
#
0.030679616  2.1427554
0.061359232  2.1481262
0.092038847  2.1564893
0.12271846   2.1694761
0.15339808   2.1860791
0.18407769   2.2068366
0.21475731   2.2317923
0.24543693   2.2622734
0.27611654   2.2975546
0.30679616   2.3386965
0.33747577   2.3855986
0.36815539   2.4383929
0.398835     2.4970732
0.42951462   2.561451
0.46019424   2.6310957
0.49087385   2.7053515
0.52155347   2.7831873
0.55223308   2.8633701
0.5829127    2.9442749
0.61359232   3.0241107
0.64427193   3.1008303
0.67495155   3.1723934
0.70563116   3.2367505
0.73631078   3.2920297
0.76699039   3.3365723
0.79767001   3.369225
0.82834963   3.3891035
0.85902924   3.3959766
0.88970886   3.3899472
0.92038847   3.3716265
0.95106809   3.341859
0.9817477    3.3018786
1.0124273    3.2529803
1.0431069    3.1965974
1.0737866    3.1341736
1.1044662    3.0670547
1.1351458    2.996537
1.1658254    2.9237455
1.196505     2.8496778
1.2271846    2.7751755
1.2578642    2.7009203
1.2885439    2.6274953
1.3192235    2.5553107
1.3499031    2.484683
1.3805827    2.415825
1.4112623    2.3489139
1.4419419    2.284011
1.4726216    2.2211821
1.5033012    2.1603841
1.5339808    2.1016407
1.5646604    2.044865
1.59534      1.9900297
1.6260196    1.9370523
1.6566993    1.8858698
1.6873789    1.8364211
1.7180585    1.7886172
1.7487381    1.7424141
1.7794177    1.6977404
1.8100973    1.6545557
1.8407769    1.6127913
1.8714566    1.5724238
1.9021362    1.5334166
1.9328158    1.4957492
1.9634954    1.4593881
1.994175     1.4243304
2.0248546    1.3905526
2.0555343    1.358048
2.0862139    1.3268113
2.1168935    1.296809
2.1475731    1.2680313
2.1782527    1.2404554
2.2089323    1.2140518
2.239612     1.1887771
2.2702916    1.1645964
2.3009712    1.1414684
2.3316508    1.1193445
2.3623304    1.0981691
2.39301      1.0778947
2.4236896    1.0584665
2.4543693    1.0398457
2.4850489    1.0219781
2.5157285    1.0048172
2.5464081    0.98832465
2.5770877    0.97247055
2.6077673    0.95720831
2.638447     0.94251596
2.6691266    0.92837141
2.6998062    0.91473583
2.7304858    0.90159933
2.7611654    0.88894196
2.791845     0.87674597
2.8225246    0.86499701
2.8532043    0.85368391
2.8838839    0.84279464
2.9145635    0.83231781
2.9452431    0.82224548
2.9759227    0.81256704
3.0066023    0.80327181
3.037282     0.79434896
3.0679616    0.78578765
3.0986412    0.77757424
3.1293208    0.76969676
3.1600004    0.76214315
3.19068      0.75489675
3.2213597    0.74794703
3.2520393    0.74128154
3.2827189    0.73488684
3.3133985    0.7287557
3.3440781    0.7228781
3.3747577    0.71724852
3.4054373    0.71186046
3.436117     0.70671105
3.4667966    0.70179371
3.4974762    0.6971055
3.5281558    0.69264529
3.5588354    0.68840635
3.589515     0.68438749
3.6201947    0.68057997
3.6508743    0.67697871
3.6815539    0.67358323
3.7122335    0.67038079
3.7429131    0.66737453
3.7735927    0.6645553
3.8042724    0.66192237
3.834952     0.65947971
3.8656316    0.65722372
3.8963112    0.65516122
3.9269908    0.6532962
3.9576704    0.65163362
3.98835      0.6501804
4.0190297    0.6489454
4.0497093    0.64793078
4.0803889    0.64714254
4.1110685    0.6465877
4.1417481    0.64626062
4.1724277    0.64616536
4.2031074    0.64629618
4.233787     0.64664924
4.2644666    0.64721573
4.2951462    0.64798967
4.3258258    0.64896599
4.3565054    0.65013169
4.3871851    0.65147659
4.4178647    0.65300228
4.4485443    0.65469052
4.4792239    0.65654278
4.5099035    0.65856249
4.5405831    0.66073619
4.5712627    0.66306822
4.6019424    0.66556196
4.632622     0.66821379
4.6633016    0.67102904
4.6939812    0.67401208
4.7246608    0.67716325
4.7553404    0.68049292
4.7860201    0.68399341
4.8166997    0.68766903
4.8473793    0.69152615
4.8780589    0.69556406
4.9087385    0.69978
4.9394181    0.70417524
4.9700978    0.70875003
5.0007774    0.7134985
5.031457     0.71841881
5.0621366    0.72350605
5.0928162    0.72875832
5.1234958    0.73416962
5.1541754    0.73973801
5.1848551    0.74545843
5.2155347    0.75132684
5.2462143    0.75734014
5.2768939    0.76349423
5.3075735    0.76979005
5.3382531    0.77622341
5.3689328    0.78279622
5.3996124    0.7895073
5.430292     0.7963544
5.4609716    0.80334139
5.4916512    0.81046182
5.5223308    0.81771744
5.5530105    0.82510791
5.5836901    0.83262561
5.6143697    0.84026804
5.6450493    0.84802957
5.6757289    0.85590451
5.7064085    0.86388404
5.7370881    0.87196137
5.7677678    0.88012966
5.7984474    0.88838102
5.829127     0.89670961
5.8598066    0.90510854
5.8904862    0.91357296
5.9211658    0.92210115
5.9518455    0.93068827
5.9825251    0.93933155
6.0132047    0.9480303
6.0438843    0.9567797
6.0745639    0.96557699
6.1052435    0.97441631
6.1359232    0.98329079
6.1666028    0.99219146
6.1972824    1.0011052
6.227962     1.010019
6.2586416    1.0189146
6.2893212    1.0277717
6.3200008    1.0365741
6.3506805    1.0453111
6.3813601    1.0539407
6.4120397    1.0624521
6.4427193    1.0708347
6.4733989    1.0790677
6.5040785    1.08713
6.5347582    1.0950217
6.5654378    1.1027429
6.5961174    1.1102833
6.626797     1.1176329
6.6574766    1.1248126
6.6881562    1.1318125
6.7188359    1.1386433
6.7495155    1.1453159
6.7801951    1.1518205
6.8108747    1.1581681
6.8415543    1.1643593
6.8722339    1.1703845
6.9029135    1.1762343
6.9335932    1.1819095
6.9642728    1.1873905
6.9949524    1.1926783
7.025632     1.1977331
7.0563116    1.2025457
7.0869912    1.2071176
7.1176709    1.2114092
7.1483505    1.2154219
7.1790301    1.2191369
7.2097097    1.2225559
7.2403893    1.22565
7.2710689    1.2284413
7.3017486    1.2309113
7.3324282    1.2330718
7.3631078    1.2349147
7.3937874    1.2364619
7.424467     1.2377051
7.4551466    1.2386664
7.4858262    1.2393373
7.5165059    1.2397397
7.5471855    1.2398753
7.5778651    1.2397558
7.6085447    1.2393727
7.6392243    1.2387474
7.6699039    1.2378816
7.7005836    1.2367865
7.7312632    1.2354435
