# Description:
#    Intra-molecular correlation functions (form factors) for a copolymer in a
#    vaccuum with athermal, hard-sphere interactions for A-A and A-B and
#    attractive B-B interactions.These data were calculated from MD simulations
#    using the Debye method.
# 
# Source:
#   Coarse Grained MD Simulation
#
# Chain Length: 24
# Sequence: A*6 + B*12 + A*6
# bond types: harmonic
# bond_r0: 1.0
# bond_k: 50
# AA interactions: WCA
# sigma_AA = 1.0d
# epsilon_AA = 1.0e
# AB interactions: WCA
# sigma_AB = 1.0d
# epsilon_AB = 1.0e
# BB interactions: LJ
# sigma_BB = 1.0d
# epsilon_BB = 0.25e
# dr: 0.1 d
# dk: 0.031 d^-1
# length: 1024
# Omega Pair: A-B
# 
#k        Omega(k)
# 
0.0306796 5.98382
0.0613592 5.9356
0.0920388 5.85591
0.122718 5.74626
0.153398 5.60806
0.184078 5.44345
0.214757 5.25483
0.245437 5.045
0.276117 4.81677
0.306796 4.57333
0.337476 4.31786
0.368155 4.05352
0.398835 3.78357
0.429515 3.51103
0.460194 3.23883
0.490874 2.9697
0.521553 2.7061
0.552233 2.45024
0.582913 2.20401
0.613592 1.96902
0.644272 1.74655
0.674952 1.53756
0.705631 1.34275
0.736311 1.16253
0.76699 0.997029
0.79767 0.846162
0.82835 0.709668
0.859029 0.587079
0.889709 0.477797
0.920388 0.381129
0.951068 0.296275
0.981748 0.222399
1.01243 0.158628
1.04311 0.104074
1.07379 0.0578614
1.10447 0.0191355
1.13515 -0.0129241
1.16583 -0.0390904
1.1965 -0.0600919
1.22718 -0.0766002
1.25786 -0.0892279
1.28854 -0.0985356
1.31922 -0.105028
1.3499 -0.109148
1.38058 -0.1113
1.41126 -0.111833
1.44194 -0.111052
1.47262 -0.109223
1.5033 -0.106578
1.53398 -0.103313
1.56466 -0.0995929
1.59534 -0.0955604
1.62602 -0.0913323
1.6567 -0.087005
1.68738 -0.0826572
1.71806 -0.0783508
1.74874 -0.0741356
1.77942 -0.070048
1.8101 -0.0661141
1.84078 -0.0623534
1.87146 -0.0587762
1.90214 -0.0553886
1.93282 -0.0521915
1.9635 -0.0491828
1.99417 -0.0463576
2.02485 -0.0437098
2.05553 -0.0412321
