# Description:
#   Normalized structure factor for block copolymer solution
#
# Source:
#   Lyubimov, I.; Jeltran-Villegas, D.J.; Jayaraman, A; PRISM Theory Study of
#   Amphiphilic Block Copolymer Solutions with Varying Copolymer Sequence and
#   Composition, Macromolecules, 2017, 50 (18), pp7419,
#   doi:10.1021/acs.macromol.7b01419
# 
# Figure 5
# Sk-pair: A-A
# Chain Length: 24
# Sequence: A*6 + B*12 + A*6
# 
# k          S(k)
#
0.030679616  1.9973552
0.061359232  1.9958602
0.092038847  1.9933189
0.12271846   1.9904697
0.15339808   1.9872337
0.18407769   1.9840582
0.21475731   1.9813058
0.24543693   1.9799804
0.27611654   1.980163
0.30679616   1.9828341
0.33747577   1.9885359
0.36815539   1.9978746
0.398835     2.0114431
0.42951462   2.0297513
0.46019424   2.0532088
0.49087385   2.081939
0.52155347   2.1159738
0.55223308   2.1549736
0.5829127    2.1983975
0.61359232   2.2453984
0.64427193   2.2948292
0.67495155   2.3454136
0.70563116   2.3956815
0.73631078   2.4441516
0.76699039   2.4893986
0.79767001   2.5300812
0.82834963   2.5650686
0.85902924   2.5934853
0.88970886   2.6147215
0.92038847   2.6284261
0.95106809   2.6345341
0.9817477    2.6331656
1.0124273    2.6246375
1.0431069    2.609428
1.0737866    2.5881236
1.1044662    2.5613632
1.1351458    2.5298225
1.1658254    2.4941877
1.196505     2.4551165
1.2271846    2.413255
1.2578642    2.3691907
1.2885439    2.3234565
1.3192235    2.2765549
1.3499031    2.228902
1.3805827    2.1808812
1.4112623    2.1328057
1.4419419    2.0849736
1.4726216    2.0376023
1.5033012    1.9908925
1.5339808    1.9450011
1.5646604    1.9000565
1.59534      1.8561506
1.6260196    1.8133728
1.6566993    1.7717719
1.6873789    1.7313696
1.7180585    1.6922117
1.7487381    1.6542839
1.7794177    1.6175822
1.8100973    1.5821079
1.8407769    1.5478164
1.8714566    1.5146978
1.9021362    1.4827106
1.9328158    1.4518189
1.9634954    1.4219858
1.994175     1.393188
2.0248546    1.3653781
2.0555343    1.3385308
2.0862139    1.3126197
2.1168935    1.2876019
2.1475731    1.2634816
2.1782527    1.2402143
2.2089323    1.2177871
2.239612     1.1961865
2.2702916    1.1753908
2.3009712    1.1553774
2.3316508    1.1361231
2.3623304    1.117613
2.39301      1.099823
2.4236896    1.0827202
2.4543693    1.0662878
2.4850489    1.0504916
2.5157285    1.0352966
2.5464081    1.0206933
2.5770877    1.0066369
2.6077673    0.9931079
2.638447     0.98009558
2.6691266    0.96755299
2.6998062    0.95547722
2.7304858    0.94383902
2.7611654    0.93262382
2.791845     0.9218123
2.8225246    0.9113855
2.8532043    0.90132407
2.8838839    0.89161105
2.9145635    0.88222628
2.9452431    0.87314923
2.9759227    0.8643628
3.0066023    0.85584387
3.037282     0.8475747
3.0679616    0.83954088
3.0986412    0.83172416
3.1293208    0.82411161
3.1600004    0.81669585
3.19068      0.80946938
3.2213597    0.80242845
3.2520393    0.79557109
3.2827189    0.78890206
3.3133985    0.78242229
3.3440781    0.77613752
3.3747577    0.77005544
3.4054373    0.7641799
3.436117     0.75851576
3.4667966    0.75306687
3.4974762    0.74783515
3.5281558    0.74281859
3.5588354    0.73802382
3.589515     0.73344093
3.6201947    0.72907058
3.6508743    0.72490752
3.6815539    0.72095125
3.7122335    0.71719631
3.7429131    0.71364011
3.7735927    0.71028093
3.8042724    0.70711995
3.834952     0.70415534
3.8656316    0.70139017
3.8963112    0.69882744
3.9269908    0.69646324
3.9576704    0.69430548
3.98835      0.69235015
4.0190297    0.69060117
4.0497093    0.68905545
4.0803889    0.68771087
4.1110685    0.68656229
4.1417481    0.68560947
4.1724277    0.68484118
4.2031074    0.6842581
4.233787     0.68385288
4.2644666    0.6836201
4.2951462    0.68355832
4.3258258    0.68366404
4.3565054    0.68393673
4.3871851    0.68437484
4.4178647    0.68498282
4.4485443    0.68575601
4.4792239    0.68670187
4.5099035    0.68782577
4.5405831    0.689119
4.5712627    0.69059196
4.6019424    0.69224293
4.632622     0.69407222
4.6633016    0.69608109
4.6939812    0.69826271
4.7246608    0.70062036
4.7553404    0.70314714
4.7860201    0.7058392
4.8166997    0.70869366
