# Description:
#   Normalized structure factor for block copolymer solution
#
# Source:
#   Lyubimov, I.; Jeltran-Villegas, D.J.; Jayaraman, A; PRISM Theory Study of
#   Amphiphilic Block Copolymer Solutions with Varying Copolymer Sequence and
#   Composition, Macromolecules, 2017, 50 (18), pp7419,
#   doi:10.1021/acs.macromol.7b01419
# 
# Figure 5
# Sk-pair: B-B
# Chain Length: 24
# Sequence: A*6 + B*12 + A*6
# 
# k          S(k)
#
0.030679616  2.0055376
0.061359232  2.0307621
0.092038847  2.0717653
0.12271846   2.1302745
0.15339808   2.2047716
0.18407769   2.2952332
0.21475731   2.4010368
0.24543693   2.5231763
0.27611654   2.6591368
0.30679616   2.8091646
0.33747577   2.9713978
0.36815539   3.1439617
0.398835     3.3244107
0.42951462   3.5099702
0.46019424   3.6974027
0.49087385   3.8827464
0.52155347   4.0620346
0.55223308   4.2309142
0.5829127    4.3851612
0.61359232   4.520802
0.64427193   4.6342201
0.67495155   4.7227021
0.70563116   4.784309
0.73631078   4.8180494
0.76699039   4.8241341
0.79767001   4.803507
0.82834963   4.7580322
0.85902924   4.690171
0.88970886   4.6028116
0.92038847   4.4991582
0.95106809   4.3823973
0.9817477    4.2555836
1.0124273    4.1216707
1.0431069    3.9832072
1.0737866    3.8424593
1.1044662    3.7014051
1.1351458    3.5616042
1.1658254    3.424315
1.196505     3.2905566
1.2271846    3.1610337
1.2578642    3.0363397
1.2885439    2.9167776
1.3192235    2.8025621
1.3499031    2.6937477
1.3805827    2.5903505
1.4112623    2.4922642
1.4419419    2.3993764
1.4726216    2.3114764
1.5033012    2.2283642
1.5339808    2.1498225
1.5646604    2.0756007
1.59534      2.0054665
1.6260196    1.939187
1.6566993    1.876516
1.6873789    1.8172484
1.7180585    1.7611487
1.7487381    1.708033
1.7794177    1.657687
1.8100973    1.6099518
1.8407769    1.5646381
1.8714566    1.5216055
1.9021362    1.4807064
1.9328158    1.4418032
1.9634954    1.4047834
1.994175     1.3695122
2.0248546    1.3359037
2.0555343    1.3038492
2.0862139    1.2732575
2.1168935    1.2440539
2.1475731    1.2161575
2.1782527    1.1894874
2.2089323    1.1639965
2.239612     1.1396054
2.2702916    1.1162685
2.3009712    1.0939241
2.3316508    1.0725275
2.3623304    1.0520266
2.39301      1.0323777
2.4236896    1.0135461
2.4543693    0.99548888
2.4850489    0.97818064
2.5157285    0.96157056
2.5464081    0.94563364
2.5770877    0.93034506
2.6077673    0.91567843
2.638447     0.90160067
2.6691266    0.88808883
2.6998062    0.87512112
2.7304858    0.86267472
2.7611654    0.8507285
2.791845     0.83926397
2.8225246    0.82825988
2.8532043    0.81770107
2.8838839    0.80756877
2.9145635    0.79784582
2.9452431    0.78851676
2.9759227    0.77956793
3.0066023    0.77098272
3.037282     0.76274817
3.0679616    0.75485026
3.0986412    0.74727402
3.1293208    0.74000984
3.1600004    0.73304264
3.19068      0.72636177
3.2213597    0.71995754
3.2520393    0.71381551
3.2827189    0.70792773
3.3133985    0.70228338
3.3440781    0.69687254
3.3747577    0.69168709
3.4054373    0.68671884
3.436117     0.68195957
3.4667966    0.67740289
3.4974762    0.67304328
3.5281558    0.66887423
3.5588354    0.6648939
3.589515     0.66108906
3.6201947    0.65746629
3.6508743    0.65401793
3.6815539    0.65074387
3.7122335    0.64764016
3.7429131    0.64470854
3.7735927    0.64194595
3.8042724    0.63935409
3.834952     0.63693466
3.8656316    0.63468357
3.8963112    0.6326102
3.9269908    0.63071336
3.9576704    0.62899376
3.98835      0.62745406
4.0190297    0.62609887
4.0497093    0.62493281
4.0803889    0.6239498
4.1110685    0.62316421
4.1417481    0.62257582
4.1724277    0.62218342
4.2031074    0.62199457
4.233787     0.62200902
4.2644666    0.62223044
4.2951462    0.62266542
4.3258258    0.62331169
4.3565054    0.62416892
4.3871851    0.62524467
4.4178647    0.62653957
4.4485443    0.62804528
4.4792239    0.62976734
4.5099035    0.6317162
4.5405831    0.63386955
4.5712627    0.63624377
4.6019424    0.63882939
4.632622     0.64162384
4.6633016    0.64462554
4.6939812    0.64783688
4.7246608    0.65124522
4.7553404    0.6548569
4.7860201    0.65866023
4.8166997    0.66265647
4.8473793    0.6668399
4.8780589    0.67120671
4.9087385    0.67575413
4.9394181    0.68047731
4.9700978    0.68537241
5.0007774    0.69043755
5.031457     0.69566785
5.0621366    0.70106137
5.0928162    0.70661519
5.1234958    0.71232533
5.1541754    0.71819082
5.1848551    0.72420968
5.2155347    0.73037783
5.2462143    0.73669426
5.2768939    0.74315687
5.3075735    0.74976356
5.3382531    0.75651526
5.3689328    0.76340776
5.3996124    0.77043888
5.430292     0.77760844
5.4609716    0.78491417
5.4916512    0.79235586
5.5223308    0.79993015
5.5530105    0.80763267
5.5836901    0.81546616
5.6143697    0.82342516
5.6450493    0.83150928
5.6757289    0.839713
5.7064085    0.8480359
5.7370881    0.85647446
5.7677678    0.8650241
5.7984474    0.87367922
5.829127     0.88243932
5.8598066    0.89129774
5.8904862    0.90024778
5.9211658    0.90928586
5.9518455    0.91840422
5.9825251    0.9275972
6.0132047    0.93685911
6.0438843    0.94617912
6.0745639    0.95555153
6.1052435    0.96496654
6.1359232    0.97441639
6.1666028    0.98389025
6.1972824    0.99338039
6.227962     1.0028749
6.2586416    1.0123631
6.2893212    1.021831
6.3200008    1.0312823
6.3506805    1.0406846
6.3813601    1.0500375
6.4120397    1.0593406
6.4427193    1.0685524
6.4733989    1.0776931
6.5040785    1.0867316
6.5347582    1.0956574
6.5654378    1.10446
6.5961174    1.1131392
6.626797     1.1216745
6.6574766    1.1300451
6.6881562    1.1382512
6.7188359    1.1462826
6.7495155    1.1541292
6.7801951    1.1617707
6.8108747    1.1692076
6.8415543    1.1764299
6.8722339    1.1834178
6.9029135    1.1901719
6.9335932    1.1966827
6.9642728    1.2029409
6.9949524    1.2089371
7.025632     1.2146621
7.0563116    1.2201172
7.0869912    1.2252933
7.1176709    1.2301816
7.1483505    1.234773
7.1790301    1.2390794
7.2097097    1.2430816
7.2403893    1.2467813
7.2710689    1.2501697
7.3017486    1.2532383
7.3324282    1.2559986
7.3631078    1.2584421
7.3937874    1.2605703
7.424467     1.2623745
7.4551466    1.2638563
7.4858262    1.265007
7.5165059    1.2658482
7.5471855    1.2663611
7.5778651    1.2665572
7.6085447    1.2664379
7.6392243    1.2659943
7.6699039    1.2652579
7.7005836    1.2641997
7.7312632    1.262851
7.7619428    1.2612029
7.7926224    1.2592665
7.823302     1.2570429
7.8539816    1.2545528
7.8846612    1.2517873
7.9153409    1.2487771
7.9460205    1.245513
7.9767001    1.2420056
8.0073797    1.2382754
8.0380593    1.2343329
8.0687389    1.2301687
8.0994186    1.2258129
8.1300982    1.2212658
8.1607778    1.2165375
8.1914574    1.2116482
8.222137     1.2065879
8.2528166    1.2013864
8.2834963    1.1960438
8.3141759    1.1905698
8.3448555    1.1849644
8.3755351    1.179257
8.4062147    1.1734377
8.4368943    1.1675258
8.4675739    1.1615212
8.4982536    1.1554433
8.5289332    1.1492918
8.5596128    1.1430762
8.5902924    1.136806
8.620972     1.1304809
8.6516516    1.1241201
8.6823313    1.1177134
8.7130109    1.1112899
8.7436905    1.1048393
8.7743701    1.0983711
8.8050497    1.0919045
8.8357293    1.0854291
8.866409     1.0789543
8.8970886    1.0724897
8.9277682    1.0660346
8.9584478    1.0596083
8.9891274    1.0532006
9.019807     1.0468208
9.0504866    1.0404783
9.0811663    1.0341728
9.1118459    1.0279037
9.1425255    1.0216904
9.1732051    1.0155226
9.2038847    1.0094098
9.2345643    1.0033516
9.265244     0.99735757
9.2959236    0.99143121
9.3266032    0.9855742
9.3572828    0.97979018
9.3879624    0.97408377
9.418642     0.96845964
9.4493217    0.96292047
9.4800013    0.95747196
9.5106809    0.95211583
9.5413605    0.94685782
9.5720401    0.94170068
9.6027197    0.93665114
9.6333993    0.93170904
9.664079     0.92688113
9.6947586    0.92217025
9.7254382    0.91758021
9.7561178    0.91311287
9.7867974    0.90877307
9.817477     0.90456267
9.8481567    0.90048456
9.8788363    0.89653864
9.9095159    0.89272978
9.9401955    0.88905693
9.9708751    0.88552001
10.001555    0.88212392
10.032234    0.87886563
10.062914    0.87574509
10.093594    0.87276126
10.124273    0.8699151
10.154953    0.86720658
10.185632    0.86463169
10.216312    0.86219141
10.246992    0.85988371
10.277671    0.85770761
10.308351    0.85566009
10.339031    0.85374214
10.36971     0.85195078
10.40039     0.85028599
10.431069    0.8487468
10.461749    0.84733219
10.492429    0.84604119
10.523108    0.84487379
10.553788    0.84382902
10.584467    0.84290688
10.615147    0.84210838
10.645827    0.84143255
10.676506    0.84088038
10.707186    0.8404519
10.737866    0.84014612
10.768545    0.83996406
10.799225    0.83990674
10.829904    0.83997416
10.860584    0.84016634
10.891264    0.84048229
