# Description:
#    Intra-molecular correlation functions (form factors) for a copolymer in a
#    vaccuum with athermal, hard-sphere interactions for A-A and A-B and
#    attractive B-B interactions.These data were calculated from MD simulations
#    using the Debye method.
# 
# Source:
#   Coarse Grained MD Simulation
#
# Chain Length: 24
# Sequence: A*6 + B*12 + A*6
# bond types: harmonic
# bond_r0: 1.0
# bond_k: 50
# AA interactions: WCA
# sigma_AA = 1.0d
# epsilon_AA = 1.0e
# AB interactions: WCA
# sigma_AB = 1.0d
# epsilon_AB = 1.0e
# BB interactions: LJ
# sigma_BB = 1.0d
# epsilon_BB = 0.25e
# dr: 0.1 d
# dk: 0.031 d^-1
# length: 1024
# Omega Pair: A-A
# 
#k        Omega(k)
# 
0.0306796  11.962
0.0613592  11.8518
0.0920388  11.6703
0.122718   11.4247
0.153398   11.1194
0.184078   10.7627
0.214757   10.3631
0.245437   9.93151
0.276117   9.47638
0.306796   9.00854
0.337476   8.53693
0.368155   8.07024
0.398835   7.61608
0.429515   7.18121
0.460194   6.77078
0.490874   6.38878
0.521553   6.03784
0.552233   5.71932
0.582913   5.43348
0.613592   5.17951
0.644272   4.95575
0.674952   4.75992
0.705631   4.58923
0.736311   4.44073
0.76699    4.31114
0.79767    4.19731
0.82835    4.09618
0.859029   4.00493
0.889709   3.92102
0.920388   3.84232
0.951068   3.76691
0.981748   3.69334
1.01243    3.62049
1.04311    3.54749
1.07379    3.47387
1.10447    3.39932
1.13515    3.3237
1.16583    3.24713
1.1965     3.16976
1.22718    3.09188
1.25786    3.01378
1.28854    2.9358
1.31922    2.85828
1.3499     2.78152
1.38058    2.70581
1.41126    2.63139
1.44194    2.55849
1.47262    2.48726
1.5033     2.41782
1.53398    2.35026
1.56466    2.28465
1.59534    2.22103
1.62602    2.15941
1.6567     2.09978
1.68738    2.04217
1.71806    1.98654
1.74874    1.93289
1.77942    1.8812
1.8101     1.83145
1.84078    1.78359
1.87146    1.73762
1.90214    1.6935
1.93282    1.65118
1.9635     1.61062
1.99417    1.57175
2.02485    1.53451
2.05553    1.49883
2.08621    1.46463
2.11689    1.43183
2.14757    1.40035
2.17825    1.37011
2.20893    1.34105
2.23961    1.31309
2.27029    1.28617
2.30097    1.26026
2.33165    1.2353
2.36233    1.21127
2.39301    1.18815
2.42369    1.16592
2.45437    1.14456
2.48505    1.12407
2.51573    1.10442
2.54641    1.0856
2.57709    1.0676
2.60777    1.05038
2.63845    1.03392
2.66913    1.01817
2.69981    1.00311
2.73049    0.988685
2.76117    0.974862
2.79185    0.961596
2.82252    0.948847
2.8532     0.936577
2.88388    0.924752
2.91456    0.91334
2.94524    0.902315
2.97592    0.891654
3.0066     0.881336
3.03728    0.871344
3.06796    0.861665
3.09864    0.852287
3.12932    0.8432
3.16       0.834393
3.19068    0.825858
3.22136    0.817593
3.25204    0.809588
3.28272    0.801843
3.3134     0.794354
3.34408    0.787119
3.37476    0.780141
3.40544    0.773418
3.43612    0.766954
3.4668     0.760749
3.49748    0.754807
3.52816    0.749128
3.55884    0.743716
3.58951    0.738569
3.62019    0.733684
3.65087    0.729059
3.68155    0.724689
3.71223    0.72057
3.74291    0.716692
3.77359    0.713051
3.80427    0.709637
3.83495    0.706446
3.86563    0.703469
3.89631    0.700707
3.92699    0.698152
3.95767    0.695804
3.98835    0.693661
4.01903    0.691727
4.04971    0.690001
4.08039    0.688485
4.11107    0.68718
4.14175    0.686087
4.17243    0.685203
4.20311    0.684527
4.23379    0.684056
4.26447    0.683779
4.29515    0.683691
4.32583    0.683787
4.35651    0.684051
4.38719    0.684477
4.41786    0.685059
4.44854    0.68578
4.47922    0.686643
4.5099     0.687639
4.54058    0.688762
4.57126    0.690016
4.60194    0.691401
4.63262    0.692921
4.6633     0.69458
4.69398    0.696386
4.72466    0.698348
4.75534    0.700474
4.78602    0.70277
4.8167     0.705248
4.84738    0.707916
4.87806    0.710781
4.90874    0.713846
4.93942    0.717113
4.9701     0.720588
5.00078    0.724268
5.03146    0.728149
5.06214    0.732228
5.09282    0.736495
5.1235     0.740946
5.15418    0.745572
5.18485    0.750363
5.21553    0.75531
5.24621    0.760406
5.27689    0.765643
5.30757    0.771012
5.33825    0.776509
5.36893    0.782131
5.39961    0.787872
5.43029    0.793728
5.46097    0.7997
5.49165    0.805785
5.52233    0.811981
5.55301    0.818288
5.58369    0.824704
5.61437    0.831226
5.64505    0.837855
5.67573    0.844588
5.70641    0.851422
5.73709    0.858355
5.76777    0.865386
5.79845    0.872509
5.82913    0.879725
5.85981    0.887027
5.89049    0.894414
5.92117    0.901881
5.95185    0.909424
5.98252    0.917039
6.0132     0.924719
6.04388    0.932461
6.07456    0.940257
6.10524    0.948102
6.13592    0.955989
6.1666     0.963912
6.19728    0.971863
6.22796    0.979835
6.25864    0.98782
6.28932    0.995811
6.32       1.0038
6.35068    1.01178
6.38136    1.01974
6.41204    1.02768
6.44272    1.03559
6.4734     1.04346
6.50408    1.05128
6.53476    1.05905
6.56544    1.06676
6.59612    1.0744
6.6268     1.08196
6.65748    1.08943
6.68816    1.09681
6.71884    1.10408
6.74952    1.11124
6.78019    1.11828
6.81087    1.12517
6.84155    1.13192
6.87223    1.13851
6.90291    1.14493
6.93359    1.15118
6.96427    1.15724
6.99495    1.1631
7.02563    1.16876
7.05631    1.17422
7.08699    1.17945
7.11767    1.18447
7.14835    1.18926
7.17903    1.19382
7.20971    1.19814
7.24039    1.20221
7.27107    1.20603
7.30175    1.2096
7.33243    1.2129
7.36311    1.21593
7.39379    1.21869
7.42447    1.22116
7.45515    1.22335
7.48583    1.22525
7.51651    1.22684
7.54719    1.22814
7.57787    1.22914
7.60854    1.22983
7.63922    1.23021
7.6699     1.23029
7.70058    1.23007
7.73126    1.22955
7.76194    1.22874
7.79262    1.22764
7.8233     1.22626
7.85398    1.22462
7.88466    1.22273
7.91534    1.22059
7.94602    1.21822
7.9767     1.21563
8.00738    1.21283
8.03806    1.20984
8.06874    1.20667
8.09942    1.20332
8.1301     1.19981
8.16078    1.19613
8.19146    1.1923
8.22214    1.18831
8.25282    1.18418
8.2835     1.1799
8.31418    1.17547
8.34486    1.1709
8.37554    1.16619
8.40621    1.16134
8.43689    1.15636
8.46757    1.15125
8.49825    1.14603
8.52893    1.14069
8.55961    1.13525
8.59029    1.12972
8.62097    1.12411
8.65165    1.11843
8.68233    1.11271
8.71301    1.10694
8.74369    1.10114
8.77437    1.09533
8.80505    1.08952
8.83573    1.08371
8.86641    1.07792
8.89709    1.07214
8.92777    1.06639
8.95845    1.06067
8.98913    1.05497
9.01981    1.04931
9.05049    1.04367
9.08117    1.03807
9.11185    1.03249
9.14253    1.02694
9.17321    1.02143
9.20388    1.01595
9.23456    1.01052
9.26524    1.00513
9.29592    0.999797
9.3266     0.994528
9.35728    0.989332
9.38796    0.984216
9.41864    0.979188
9.44932    0.974255
9.48       0.969423
9.51068    0.964696
9.54136    0.960076
9.57204    0.955565
9.60272    0.951164
9.6334     0.946873
9.66408    0.94269
9.69476    0.938615
9.72544    0.934645
9.75612    0.930781
9.7868     0.92702
9.81748    0.923364
9.84816    0.919809
9.87884    0.916358
9.90952    0.913009
9.9402     0.909763
9.97087    0.90662
10.0016    0.90358
10.0322    0.900642
10.0629    0.897808
10.0936    0.895075
10.1243    0.892445
10.155     0.889916
10.1856    0.887489
10.2163    0.885163
10.247     0.882939
10.2777    0.880816
10.3084    0.878796
10.339     0.87688
10.3697    0.875068
10.4004    0.873361
10.4311    0.87176
10.4617    0.870268
10.4924    0.868884
10.5231    0.86761
10.5538    0.866447
10.5845    0.865397
10.6151    0.864459
10.6458    0.863635
10.6765    0.862924
10.7072    0.86233
10.7379    0.86185
10.7685    0.861486
10.7992    0.861239
10.8299    0.861108
10.8606    0.861096
10.8913    0.861201
