# Description:
#   Normalized structure factor for block copolymer solution
#
# Source:
#   Lyubimov, I.; Jeltran-Villegas, D.J.; Jayaraman, A; PRISM Theory Study of
#   Amphiphilic Block Copolymer Solutions with Varying Copolymer Sequence and
#   Composition, Macromolecules, 2017, 50 (18), pp7419,
#   doi:10.1021/acs.macromol.7b01419
# 
# Figure 5
# Sk-pair: A-A
# Chain Length: 24
# Sequence: B*6 + A*12 + B*6
# 
# k          S(k)
#
0.030679616  2.1443898
0.061359232  2.1535951
0.092038847  2.1686721
0.12271846   2.1905528
0.15339808   2.2187873
0.18407769   2.2537568
0.21475731   2.2954381
0.24543693   2.3445796
0.27611654   2.4005484
0.30679616   2.4638217
0.33747577   2.5339826
0.36815539   2.610633
0.398835     2.6931994
0.42951462   2.7807691
0.46019424   2.8722366
0.49087385   2.9661078
0.52155347   3.0606548
0.55223308   3.1538882
0.5829127    3.2435676
0.61359232   3.3273878
0.64427193   3.4030271
0.67495155   3.4683008
0.70563116   3.5212811
0.73631078   3.5604406
0.76699039   3.5846725
0.79767001   3.5935309
0.82834963   3.5869768
0.85902924   3.5656316
0.88970886   3.5304626
0.92038847   3.4828734
0.95106809   3.4244758
0.9817477    3.3570273
1.0124273    3.2822861
1.0431069    3.2020035
1.0737866    3.1177859
1.1044662    3.0311171
1.1351458    2.9432437
1.1658254    2.8552278
1.196505     2.7679743
1.2271846    2.6821956
1.2578642    2.5984239
1.2885439    2.5170905
1.3192235    2.4384506
1.3499031    2.3627127
1.3805827    2.289969
1.4112623    2.2202511
1.4419419    2.1535729
1.4726216    2.0898706
1.5033012    2.0290667
1.5339808    1.9710818
1.5646604    1.9158059
1.59534      1.863107
1.6260196    1.8128947
1.6566993    1.7650396
1.6873789    1.7194379
1.7180585    1.6759573
1.7487381    1.6345125
1.7794177    1.5949848
1.8100973    1.5572889
1.8407769    1.5213158
1.8714566    1.4869922
1.9021362    1.4542061
1.9328158    1.4228985
1.9634954    1.3929815
1.994175     1.3643801
2.0248546    1.3370067
2.0555343    1.3108136
2.0862139    1.2857249
2.1168935    1.2616707
2.1475731    1.2385963
2.1782527    1.2164372
2.2089323    1.1951445
2.239612     1.1746688
2.2702916    1.1549509
2.3009712    1.135958
2.3316508    1.1176391
2.3623304    1.0999697
2.39301      1.0828989
2.4236896    1.0664023
2.4543693    1.0504469
2.4850489    1.0350176
2.5157285    1.0200816
2.5464081    1.0056239
2.5770877    0.99161186
2.6077673    0.97804861
2.638447     0.96489196
2.6691266    0.95214786
2.6998062    0.93979188
2.7304858    0.92781419
2.7611654    0.91620098
2.791845     0.90494186
2.8225246    0.89402449
2.8532043    0.88343904
2.8838839    0.87317647
2.9145635    0.86322564
2.9452431    0.8535781
2.9759227    0.84422621
3.0066023    0.83516225
3.037282     0.82637739
3.0679616    0.81786561
3.0986412    0.80962178
3.1293208    0.80163785
3.1600004    0.79390956
3.19068      0.78643257
3.2213597    0.77920165
3.2520393    0.77221433
3.2827189    0.76546431
3.3133985    0.75895105
3.3440781    0.75266722
3.3747577    0.7466171
3.4054373    0.74079427
3.436117     0.73519424
3.4667966    0.72981732
3.4974762    0.72466284
3.5281558    0.71972715
3.5588354    0.71500855
3.589515     0.71050427
3.6201947    0.70621349
3.6508743    0.70213434
3.6815539    0.69826293
3.7122335    0.69459729
3.7429131    0.69113935
3.7735927    0.68788013
3.8042724    0.68482542
3.834952     0.68196712
3.8656316    0.67930502
3.8963112    0.67683587
3.9269908    0.67456036
3.9576704    0.67247322
3.98835      0.67057408
4.0190297    0.66886455
4.0497093    0.66733725
4.0803889    0.66599473
4.1110685    0.66483256
4.1417481    0.66385522
4.1724277    0.66305722
4.2031074    0.66244002
4.233787     0.66200606
4.2644666    0.66174576
4.2951462    0.66167151
4.3258258    0.66177668
4.3565054    0.66206462
4.3871851    0.66252863
4.4178647    0.66318107
4.4485443    0.66400917
4.4792239    0.66502225
4.5099035    0.66622159
4.5405831    0.66760038
4.5712627    0.6691649
4.6019424    0.67091437
4.632622     0.67284093
4.6633016    0.67495689
4.6939812    0.67725032
4.7246608    0.67972846
4.7553404    0.68238542
4.7860201    0.68522234
4.8166997    0.68823633
4.8473793    0.69143157
4.8780589    0.694796
4.9087385    0.6983348
4.9394181    0.70204299
4.9700978    0.70592167
5.0007774    0.70996483
5.031457     0.71417255
5.0621366    0.71854185
5.0928162    0.72307078
5.1234958    0.72775837
5.1541754    0.73260166
5.1848551    0.73760069
5.2155347    0.74275145
5.2462143    0.74805702
5.2768939    0.75351034
5.3075735    0.75911546
5.3382531    0.76486935
5.3689328    0.77077097
5.3996124    0.77682027
5.430292     0.78301924
5.4609716    0.78936167
5.4916512    0.79585154
5.5223308    0.80248769
5.5530105    0.8092659
5.5836901    0.81618904
5.6143697    0.82325387
5.6450493    0.83045814
5.6757289    0.83780058
5.7064085    0.84527893
5.7370881    0.8528868
5.7677678    0.86062595
5.7984474    0.86848796
5.829127     0.8764715
5.8598066    0.88456914
5.8904862    0.89277446
5.9211658    0.90108307
5.9518455    0.90948651
5.9825251    0.91797836
6.0132047    0.92655015
6.0438843    0.93519446
6.0745639    0.94390183
6.1052435    0.95266282
6.1359232    0.96146901
6.1666028    0.97031099
6.1972824    0.97917836
6.227962     0.98806073
6.2586416    0.99694877
6.2893212    1.0058331
6.3200008    1.0147046
6.3506805    1.0235507
6.3813601    1.0323552
6.4120397    1.041118
6.4427193    1.0498289
6.4733989    1.0584776
6.5040785    1.067044
6.5347582    1.0755279
6.5654378    1.0839194
6.5961174    1.0922083
6.626797     1.1003846
6.6574766    1.1084282
6.6881562    1.1163495
6.7188359    1.1241182
6.7495155    1.1317448
6.7801951    1.1391992
6.8108747    1.146492
6.8415543    1.1536033
6.8722339    1.1605234
6.9029135    1.1672428
6.9335932    1.173762
6.9642728    1.1800613
6.9949524    1.1861415
7.025632     1.191993
7.0563116    1.1975963
7.0869912    1.2029623
7.1176709    1.2080713
7.1483505    1.2129243
7.1790301    1.2175017
7.2097097    1.2218145
7.2403893    1.2258532
7.2710689    1.2295987
7.3017486    1.2330616
7.3324282    1.236243
7.3631078    1.2391133
7.3937874    1.2416937
7.424467     1.2439747
7.4551466    1.2459473
7.4858262    1.2476223
7.5165059    1.2489804
7.5471855    1.2500426
7.5778651    1.2507995
7.6085447    1.2512421
7.6392243    1.2513809
7.6699039    1.2512267
7.7005836    1.2507601
7.7312632    1.2500019
7.7619428    1.2489426
7.7926224    1.2475927
7.823302     1.2459627
7.8539816    1.244053
7.8846612    1.241864
7.9153409    1.2393962
7.9460205    1.2366795
7.9767001    1.2337044
8.0073797    1.2304711
8.0380593    1.2270095
8.0687389    1.2233198
8.0994186    1.219402
8.1300982    1.2152761
8.1607778    1.210952
8.1914574    1.2064296
8.222137     1.2017287
8.2528166    1.1968592
8.2834963    1.1918209
8.3141759    1.1866434
8.3448555    1.1813166
8.3755351    1.1758603
8.4062147    1.1702939
8.4368943    1.1646073
8.4675739    1.15883
8.4982536    1.152952
8.5289332    1.1469926
8.5596128    1.1409714
8.5902924    1.1348784
8.620972     1.1287329
8.6516516    1.1225348
8.6823313    1.1163035
8.7130109    1.1100387
8.7436905    1.1037501
8.7743701    1.0974374
8.8050497    1.0911202
8.8357293    1.084808
8.866409     1.0784907
8.8970886    1.0721879
8.9277682    1.0659092
8.9584478    1.0596544
8.9891274    1.0534232
9.019807     1.0472352
9.0504866    1.0410803
9.0811663    1.034978
9.1118459    1.0289381
9.1425255    1.0229505
9.1732051    1.0170249
9.2038847    1.0111709
9.2345643    1.0053885
9.265244     0.99968728
9.2959236    0.99406317
9.3266032    0.98852392
9.3572828    0.98307335
9.3879624    0.9777133
9.418642     0.97244561
9.4493217    0.96727411
9.4800013    0.96219968
9.5106809    0.95722418
9.5413605    0.9523495
9.5720401    0.94757851
9.6027197    0.94290913
9.6333993    0.93834526
9.664079     0.93388781
9.6947586    0.92953671
9.7254382    0.92529289
9.7561178    0.92115828
9.7867974    0.91713184
9.817477     0.9132155
9.8481567    0.90940923
9.8788363    0.90571499
9.9095159    0.90213173
9.9401955    0.89866144
9.9708751    0.89530308
10.001555    0.89205963
10.032234    0.88892908
10.062914    0.88591342
10.093594    0.88301263
10.124273    0.88022671
10.154953    0.87755665
10.185632    0.87500245
10.216312    0.87256412
10.246992    0.87024165
10.277671    0.86803705
10.308351    0.86594832
10.339031    0.86397548
10.36971     0.86212152
10.40039     0.86038447
10.431069    0.85876432
10.461749    0.85726209
10.492429    0.85587779
